,شهر,التاريخ,كود العميل,مدى الالتزام الفرع بالاجراءات الاحترازية,مدي رضاء العميل عن نظافة المكان,مدي رضاء العميل عن معاملة العاملين بالفرع,مدي رضاء العميل عن اسعار المنتجات داخل الفرع,مدي رضاء العميل عن تنوع المنتجات,نوع المكالمة
317,مايو,2023-05-12,513628,5,5,5,5,5,شكر
318,مايو,2023-05-12,834857,5,5,5,5,5,شكر
319,مايو,2023-05-12,621335,5,5,5,5,5,شكر
320,مايو,2023-05-13,2158300,5,5,5,5,4,شكر
321,مايو,2023-05-13,2157976,5,5,5,5,5,شكر
322,مايو,2023-05-13,525804,5,5,5,5,5,شكر
323,مايو,2023-05-13,2158065,5,5,5,5,5,شكر
324,مايو,2023-05-13,837161,5,5,5,5,5,شكر
325,مايو,2023-05-13,527255,5,5,5,4,5,شكوي
326,مايو,2023-05-13,517916,5,5,5,4,5,شكوي
327,مايو,2023-05-13,166455,5,5,3,5,5,استفسار
328,مايو,2023-05-14,510441,5,5,5,5,5,شكر
329,مايو,2023-05-14,627188,5,5,5,5,5,شكر
330,مايو,2023-05-14,622326,5,5,5,5,5,شكر
331,مايو,2023-05-14,835367,5,5,5,5,5,شكر
332,مايو,2023-05-14,522433,5,5,5,5,5,شكر
333,مايو,2023-05-15,835556,5,5,5,5,5,شكر
334,مايو,2023-05-15,635561,5,5,5,5,5,شكر
335,مايو,2023-05-15,605042,5,5,5,5,5,شكر
336,مايو,2023-05-15,514459,5,5,5,5,5,شكر
337,مايو,2023-05-15,837479,5,5,3,5,5,شكوي
338,مايو,2023-05-15,517782,5,5,5,5,3,شكر
339,مايو,2023-05-15,604816,5,5,3,5,5,شكوي
340,مايو,2023-05-15,621115,5,5,5,5,5,شكر
341,مايو,2023-05-15,631806,5,5,3,5,5,شكوي
342,مايو,2023-05-16,2158266,5,5,5,5,5,شكر
343,مايو,2023-05-16,838603,5,5,5,5,5,شكر
344,مايو,2023-05-16,631723,5,5,5,5,5,شكر
345,مايو,2023-05-16,619047,5,5,5,5,5,شكر
346,مايو,2023-05-16,613977,5,5,5,5,5,شكر
347,مايو,2023-05-16,69490,5,5,5,5,5,شكر
348,مايو,2023-05-16,607863,5,5,5,5,5,شكر
349,مايو,2023-05-16,523088,5,5,5,5,5,شكر
350,مايو,2023-05-16,600789,5,5,5,5,5,شكر
351,مايو,2023-05-16,604560,5,5,5,5,5,شكر
352,مارس,2023-03-06,611727,5,5,5,5,5,شكر
353,مارس,2023-03-06,836206,5,5,5,5,5,شكر
354,مارس,2023-03-06,609743,5,5,5,5,5,شكر
355,مارس,2023-03-06,836282,5,5,5,5,5,شكر
356,مارس,2023-03-06,622767,5,5,5,5,5,شكر
357,مارس,2023-03-06,788910,5,5,5,5,5,شكر
358,مارس,2023-03-06,510290,5,5,5,5,5,شكر
359,مارس,2023-03-06,610837,5,5,5,5,5,شكر
360,مارس,2023-03-06,606601,5,5,5,5,5,شكر
361,مارس,2023-03-06,513027,5,5,5,5,5,شكر
362,مارس,2023-03-08,518707,5,5,5,5,5,شكر
363,مارس,2023-03-08,623463,5,5,5,5,5,شكر
364,مارس,2023-03-08,835981,5,5,5,5,5,شكر
365,مارس,2023-03-08,618679,5,5,5,5,5,اقتراح 
366,مارس,2023-03-08,617279,5,5,5,5,5,شكر
367,مارس,2023-03-08,605891,1,2,1,5,3,شكوي
368,مارس,2023-03-08,600939,5,5,5,5,5,شكر
369,مارس,2023-03-08,509324,5,5,5,5,5,شكر
370,مارس,2023-03-08,603070,5,5,5,5,5,شكر
371,مارس,2023-03-08,838380,5,5,5,5,5,شكر
372,مارس,2023-03-10,836800,5,5,5,5,5,شكر
373,مارس,2023-03-10,527144,5,5,5,5,5,شكر
374,مارس,2023-03-10,603858,5,5,5,5,5,شكر
375,مارس,2023-03-10,624928,5,5,5,5,5,شكر
376,مارس,2023-03-10,516137,5,5,5,5,5,شكر
377,مارس,2023-03-10,603173,5,5,5,5,5,شكر
378,مارس,2023-03-10,610192,5,5,5,5,5,شكر
379,مارس,2023-03-10,517652,5,5,5,5,5,شكر
380,مارس,2023-03-10,612529,5,5,5,5,5,شكر
381,مارس,2023-03-10,633110,5,5,5,5,5,شكر
382,مارس,2023-03-12,631730,5,5,5,5,5,شكر
383,مارس,2023-03-12,620219,5,5,5,5,5,شكر
384,مارس,2023-03-12,513339,5,5,5,5,5,شكر
385,مارس,2023-03-12,624713,5,5,5,5,5,شكر
386,مارس,2023-03-12,836180,5,5,5,5,5,شكر
387,مارس,2023-03-12,605620,5,5,5,5,5,شكر
388,مارس,2023-03-12,627309,5,5,5,5,5,شكر
389,مارس,2023-03-12,605876,5,5,5,5,5,شكر
390,مارس,2023-03-12,523143,5,5,5,5,5,شكر
391,مارس,2023-03-12,513852,5,5,5,5,5,شكر
392,مارس,2023-03-14,615138,5,5,5,5,5,شكر
393,مارس,2023-03-14,834618,5,5,5,5,5,شكر
394,مارس,2023-03-14,511611,5,5,5,5,5,شكر
395,مارس,2023-03-14,521604,5,5,5,5,5,شكر
396,مارس,2023-03-14,624963,5,5,5,5,5,شكر
397,مارس,2023-03-14,628433,5,5,5,5,5,شكر
398,مارس,2023-03-14,512021,5,5,5,5,5,شكر
399,مارس,2023-03-14,605799,5,5,5,5,5,شكر
400,مارس,2023-03-14,837656,5,5,5,5,5,شكر
401,مارس,2023-03-14,620450,5,5,5,5,5,شكر
402,مارس,2023-03-14,614469,5,5,5,5,5,شكر
403,مارس,2023-03-14,838655,5,5,5,5,5,شكر
404,يونيو,2023-06-02,216588,5,5,5,5,5,شكر
405,يونيو,2023-06-02,626034,5,5,5,5,5,شكر
406,يونيو,2023-06-02,631375,5,5,5,5,5,شكر
407,يونيو,2023-06-02,520734,5,5,5,5,5,شكر
408,يونيو,2023-06-02,620171,5,5,5,5,5,شكر
409,يونيو,2023-06-02,511312,5,5,5,5,5,شكر
410,يونيو,2023-06-02,628339,5,5,5,5,5,شكر
411,يونيو,2023-06-02,603334,5,5,5,5,5,شكر
412,يونيو,2023-06-02,625517,5,5,5,5,5,شكر
413,يونيو,2023-06-02,623041,5,5,5,5,5,شكر
414,يونيو,2023-06-03,606026,5,5,5,5,5,شكر
415,يونيو,2023-06-03,511063,5,5,5,5,5,شكر
416,يونيو,2023-06-03,526431,5,5,5,5,5,شكوي
417,يونيو,2023-06-03,520078,5,5,5,5,5,شكر
418,يونيو,2023-06-03,2158358,5,5,5,5,5,شكر
419,يونيو,2023-06-03,635467,5,5,5,5,5,شكر
420,يونيو,2023-06-03,516411,5,5,5,5,5,شكر
421,يونيو,2023-06-03,516900,5,5,5,5,5,شكر
422,يونيو,2023-06-03,525672,5,5,5,5,5,شكر
423,يونيو,2023-06-03,615460,5,5,5,5,5,شكر
